county,site,total,dem,rep,estimated,basis,source
Denton,Frederick P. Herring Recreation Center,2846,,,yes,Nov 2024 general x0.31,votedenton.gov 1124_11-01_ev_by_day_poll_pad.pdf
Harris,Kashmere MultiService Center,2817,2733,84,yes,"primary thru 2/25, scaled x1.58/x1.49",http://web.archive.org/web/20260226212822/https://appfiles.harrisvotes.com/harrisvotes/prd/docs/Uploads/EVPA_unofficial.pdf
El Paso,Officer David Ortiz Recreation Center,2812,2331,481,,primary 2026,https://ep-county-elections-production.s3.amazonaws.com/documents/files/000/006/527/original/DEM_Early_Voting_Statistics.pdf ; https://ep-county-elections-production.s3.amazonaws.com/documents/files/000/006/525/original/REP_Early_Voting_Statistics.pdf
Dallas,Crosswinds High School,2800,1903,897,,primary 2026,https://www.dallascountyvotes.org/wp-content/uploads/2026/02/Early-Voting-Turnout-By-Date-Location-Party-Report_02.28.26.xlsx
Harris,Bay Area Community Center,2782,1123,1659,yes,"primary thru 2/25, scaled x1.58/x1.49",http://web.archive.org/web/20260226212822/https://appfiles.harrisvotes.com/harrisvotes/prd/docs/Uploads/EVPA_unofficial.pdf
Bexar,Memorial Branch Library,2775,2382,393,,primary 2026,https://earlyvotecounts.bexar.org/ (Wayback capture http://web.archive.org/web/20260306200258/https://earlyvotecounts.bexar.org/)
Denton,Denton Civic Center,2774,,,yes,Nov 2024 general x0.31,votedenton.gov 1124_11-01_ev_by_day_poll_pad.pdf
Travis,Dan Ruiz Branch Library,2767,2572,195,,primary 2026,https://votetravis.gov/wp-content/uploads/P26-Daily-Totals-1.zip
Cameron,San Benito Community Bldg.,2739,2031,708,,primary 2026,https://www.cameroncountytx.gov/elections/wp-content/uploads/2026/02/01_2026_DEMOCRATIC_PRIMARY2-27-2026.pdf ; https://www.cameroncountytx.gov/elections/wp-content/uploads/2026/02/02_2026_REPUBLICAN_PRIMARY2-27-2026.pdf
Collin,Wylie Community Park Center,2716,1298,,yes,Dem primary only; total est. x2.09,talarico-archive tag
Nueces,Nueces County Courthouse,2706,1571,1135,,primary 2026,https://www.nuecesco.com/home/showpublisheddocument/33305/639092555266430000
Dallas,Dallas College-West Dallas Center,2696,2549,147,,primary 2026,https://www.dallascountyvotes.org/wp-content/uploads/2026/02/Early-Voting-Turnout-By-Date-Location-Party-Report_02.28.26.xlsx
Tarrant,Tarrant County College Northwest Campus,2642,1749,893,,primary 2026,https://www.tarrantcountytx.gov/content/dam/main/elections/2026/pm26/ev_reports/Early_Voting_Daily_Totals.pdf
